Ferrari,Testarossa,12,4.9,Rear-Wheel Drive,Manual 5-spd,9,11,14
Dodge,Charger,4,2.2,Front-Wheel Drive,Manual 5-spd,23,27,33
Dodge,B150/B250 Wagon 2WD,8,5.2,Rear-Wheel Drive,Automatic 3-spd,10,11,12
Subaru,Legacy AWD Turbo,4,2.2,4-Wheel or All-Wheel Drive,Manual 5-spd,17,19,23
Subaru,Loyale,4,1.8,Front-Wheel Drive,Automatic 3-spd,21,22,24
Subaru,Loyale,4,1.8,Front-Wheel Drive,Manual 5-spd,22,25,29
Toyota,Corolla,4,1.6,Front-Wheel Drive,Automatic 3-spd,23,24,26
Toyota,Corolla,4,1.6,Front-Wheel Drive,Manual 5-spd,23,26,31
Toyota,Corolla,4,1.8,Front-Wheel Drive,Automatic 4-spd,23,25,30
Toyota,Corolla,4,1.8,Front-Wheel Drive,Manual 5-spd,23,26,30
Volkswagen,Golf III / GTI,4,2,Front-Wheel Drive,Automatic 4-spd,18,21,26
Volkswagen,Golf III / GTI,4,2,Front-Wheel Drive,Manual 5-spd,21,24,29
Volkswagen,Jetta III,4,2,Front-Wheel Drive,Automatic 4-spd,18,21,26
Dodge,B150/B250 Wagon 2WD,8,5.2,Rear-Wheel Drive,Automatic 3-spd,12,13,15
Volkswagen,Jetta III,4,2,Front-Wheel Drive,Manual 5-spd,20,23,28
Volvo,240,4,2.3,Rear-Wheel Drive,Automatic 4-spd,18,20,23
Volvo,240,4,2.3,Rear-Wheel Drive,Manual 5-spd,19,21,26
Audi,100,6,2.8,Front-Wheel Drive,Automatic 4-spd,17,19,22
Audi,100,6,2.8,Front-Wheel Drive,Manual 5-spd,17,19,24
BMW,740i,8,4,Rear-Wheel Drive,Automatic 5-spd,14,16,20
BMW,740il,8,4,Rear-Wheel Drive,Automatic 5-spd,14,16,20
BMW,750il,12,5,Rear-Wheel Drive,Automatic 4-spd,11,13,17
Buick,Century,4,2.2,Front-Wheel Drive,Automatic 3-spd,21,23,28
Buick,Century,6,3.3,Front-Wheel Drive,Automatic 3-spd,17,19,24
Dodge,B150/B250 Wagon 2WD,8,5.2,Rear-Wheel Drive,Manual 4-spd,11,13,17
Buick,Century,6,3.3,Front-Wheel Drive,Automatic 4-spd,18,21,26
Buick,Regal,6,3.1,Front-Wheel Drive,Automatic 3-spd,17,20,25
Buick,Regal,6,3.1,Front-Wheel Drive,Automatic 4-spd,17,20,27
Buick,Regal,6,3.8,Front-Wheel Drive,Automatic 4-spd,17,20,26
Buick,Riviera,6,3.8,Front-Wheel Drive,Automatic 4-spd,17,20,25
Cadillac,Eldorado,8,4.6,Front-Wheel Drive,Automatic 4-spd,15,18,23
Cadillac,Eldorado,8,4.9,Front-Wheel Drive,Automatic 4-spd,15,17,23
Cadillac,Seville,8,4.6,Front-Wheel Drive,Automatic 4-spd,15,18,23
Cadillac,Seville,8,4.9,Front-Wheel Drive,Automatic 4-spd,15,17,23
Chevrolet,Lumina,4,2.2,Front-Wheel Drive,Automatic 3-spd,18,21,26
Dodge,B150/B250 Wagon 2WD,8,5.2,Rear-Wheel Drive,Manual 4-spd,11,13,17
Chevrolet,Lumina,6,3.1,Front-Wheel Drive,Automatic 3-spd,17,20,25
Chevrolet,Lumina,6,3.1,Front-Wheel Drive,Automatic 4-spd,17,20,27
Chevrolet,Lumina,6,3.4,Front-Wheel Drive,Automatic 4-spd,15,18,24
Chevrolet,Lumina,6,3.4,Front-Wheel Drive,Manual 5-spd,15,18,24
Chrysler,New Yorker,6,3.3,Front-Wheel Drive,Automatic 4-spd,18,20,24
CX Automotive,XM v6,6,3,Front-Wheel Drive,Manual 5-spd,13,15,19
CX Automotive,XM v6a,6,3,Front-Wheel Drive,Automatic 4-spd,13,15,19
Nissan,Maxima,6,3,Front-Wheel Drive,Automatic 4-spd,17,19,23
Nissan,Maxima,6,3,Front-Wheel Drive,Automatic 4-spd,17,19,24
Nissan,Maxima,6,3,Front-Wheel Drive,Manual 5-spd,18,20,24
